_______Metadata
source_form,core_area,activity,item,subitem
A,個人發展,1. 使用廁所,1. 小便,
A,個人發展,1. 使用廁所,2. 大便,
A,個人發展,1. 使用廁所,3. 事後清理,
A,個人發展,1. 使用廁所,4. 遵守如廁禮儀/隱私,
A,個人發展,2. 處理衣物,1. 更換髒衣物,
A,個人發展,2. 處理衣物,2. 洗滌衣物,
A,個人發展,2. 處理衣物,3. 晾曬衣物,
A,個人發展,2. 處理衣物,4. 使用乾衣機烘乾衣物,
A,個人發展,2. 處理衣物,5. 摺疊衣物,
A,個人發展,2. 處理衣物,6. 收納/整理衣物,
A,個人發展,3. 準備食物,1. 食物處理,1) 清洗食物
A,個人發展,3. 準備食物,1. 食物處理,2) 使用工具處理食物
A,個人發展,3. 準備食物,1. 食物處理,3) 使用量杯、量匙量取正確分量的食物
A,個人發展,3. 準備食物,1. 食物處理,4) 挑菜
A,個人發展,3. 準備食物,2. 簡易餐食,1) 用熱開水沖泡飲料/速食品
A,個人發展,3. 準備食物,2. 簡易餐食,2) 用現成食物調配餐食
A,個人發展,3. 準備食物,2. 簡易餐食,3) 食物加熱
A,個人發展,3. 準備食物,3. 烹煮食物,1) 淘洗米/煮飯
A,個人發展,3. 準備食物,3. 烹煮食物,2) 辨識水開與否
A,個人發展,3. 準備食物,3. 烹煮食物,3) 處理/烹煮速食調理食品包
A,個人發展,3. 準備食物,3. 烹煮食物,4) 用電鍋蒸煮食品等
A,個人發展,3. 準備食物,3. 烹煮食物,5) 以煮的方式製作餐食
A,個人發展,3. 準備食物,3. 烹煮食物,6) 燙煮食物並調配佐料沾拌
A,個人發展,3. 準備食物,3. 烹煮食物,7) 用烤箱烤食物
A,個人發展,3. 準備食物,3. 烹煮食物,8) 製作湯類餐點
A,個人發展,3. 準備食物,3. 烹煮食物,9) 會看序列圖片/食譜製作食物
A,個人發展,4. 進食,1. 使用餐具進食,
A,個人發展,4. 進食,2. 盡量保持桌面乾淨/吃飯不掉落食物在桌面上,
A,個人發展,4. 進食,3. 打開不須使用工具的食物容器,
A,個人發展,4. 進食,4. 使用工具打開食物容器,
A,個人發展,4. 進食,5. 剝除水果外皮進食,
A,個人發展,5. 料理家事/打掃房間,1. 垃圾處理,
A,個人發展,5. 料理家事/打掃房間,2. 蜘蛛網清理,
A,個人發展,5. 料理家事/打掃房間,3. 擦拭,
A,個人發展,5. 料理家事/打掃房間,4. 刷洗,
A,個人發展,5. 料理家事/打掃房間,5. 掃地,
A,個人發展,5. 料理家事/打掃房間,6. 拖地,
A,個人發展,5. 料理家事/打掃房間,7. 以正確方式維護家電用品/家庭清潔,
A,個人發展,5. 料理家事/打掃房間,8. 進行清潔工作時會將家具移動並歸位,
A,個人發展,5. 料理家事/打掃房間,9. 清理廚房,
A,個人發展,5. 料理家事/打掃房間,10. 清洗衞浴設備,
A,個人發展,5. 料理家事/打掃房間,11. 清理庭院/陽台/樓梯,
A,個人發展,5. 料理家事/打掃房間,12. 刷洗餐具,
A,個人發展,5. 料理家事/打掃房間,13. 整理寢具,
A,個人發展,5. 料理家事/打掃房間,14. 選擇及使用適當、適量的清潔劑清洗不同的器具,
A,個人發展,5. 料理家事/打掃房間,15. 使用清潔劑注意安全,
A,個人發展,5. 料理家事/打掃房間,16. 家務管理,
A,個人發展,6. 穿衣,1. 穿脫衣/褲,
A,個人發展,6. 穿衣,2. 穿脫鞋襪,
A,個人發展,6. 穿衣,3. 選擇/搭配衣物,
A,個人發展,6. 穿衣,4. 依適當場合與季節選擇衣鞋,
A,個人發展,6. 穿衣,5. 更換衣物,
A,個人發展,6. 穿衣,6. 更衣時會注意隱私保護,
A,個人發展,7. 梳洗沐浴/個人衛生,1. 使用肥皂洗手,
A,個人發展,7. 梳洗沐浴/個人衛生,2. 刷牙,
A,個人發展,7. 梳洗沐浴/個人衛生,3. 洗臉,
A,個人發展,7. 梳洗沐浴/個人衛生,4. 擤鼻涕,
A,個人發展,7. 梳洗沐浴/個人衛生,5. 洗頭,
A,個人發展,7. 梳洗沐浴/個人衛生,6. 整理頭髮,
A,個人發展,7. 梳洗沐浴/個人衛生,7. 假牙照護,
A,個人發展,7. 梳洗沐浴/個人衛生,8. 洗澡,
A,個人發展,7. 梳洗沐浴/個人衛生,9. 洗澡時注意隱私,
A,個人發展,7. 梳洗沐浴/個人衛生,10. 修剪指甲,
A,個人發展,7. 梳洗沐浴/個人衛生,11. 刮鬍子,
A,個人發展,7. 梳洗沐浴/個人衛生,12. 女性經期處理,
A,個人發展,7. 梳洗沐浴/個人衛生,13. 簡單皮膚護理,
A,個人發展,8. 使用家電,1. 使用電話,
A,個人發展,8. 使用家電,2. 使用電視機,
A,個人發展,8. 使用家電,3. 使用電扇,
A,個人發展,8. 使用家電,4. 使用音響/收音機,
A,個人發展,8. 使用家電,5. 使用冷氣機,
A,個人發展,8. 使用家電,6. 使用開飲機,
B,社會融合,1. 往返社區內各地,1. 地點往返,
B,社會融合,1. 往返社區內各地,2. 使用公共交通工具,
B,社會融合,2. 社區中參與娛樂/休閒,2. 規劃個人休閒,
B,社會融合,2. 社區中參與娛樂/休閒,3. 搜尋/取得休閒活動資訊,
B,社會融合,2. 社區中參與娛樂/休閒,4. 參與休閒社團,
B,社會融合,2. 社區中參與娛樂/休閒,5. 租用/購置休閒器材用品,
B,社會融合,3. 社區中使用公共設施與服務,1. 辨識不同需要的公眾服務(如警察局/郵局/銀行/監理所/理髮廳/醫療院所等),
B,社會融合,3. 社區中使用公共設施與服務,2. 依需要使用公眾服務(如警察局/郵局/銀行/監理所/理髮廳/醫療院所等),
B,人際關係,4. 拜訪親朋好友,1. 選擇想要互動/拜訪的親友,
